                         0	ACT 0 0 0
                        12	ACT 0 1 0
                        20	ACT 1 0 0
                        48	RD  0 0 0
                        64	RD  0 1 0
                        72	RD  1 0 0
                        80	RD  0 0 1
                        88	RD  1 0 1
                        96	RD  0 0 2
                       104	RD  1 0 2
                       112	RD  0 0 3
                       120	RD  1 0 3
                       122	ACT 2 0 0
                       128	RD  0 0 4
                       136	RD  1 0 4
                       144	RD  0 0 5
                       152	RD  1 0 5
                       160	RD  0 0 6
                       168	RD  1 0 6
                       176	RD  0 0 7
                       184	RD  1 0 7
                       192	RD  2 0 0
